Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
50:30.9,0.544389784,0.416611841,-0.042197947,-0.190822259,-0.644729495,-0.014192343,-0.190300196,-0.645206749,-0.013546467,-0.19051379,-0.64556247,-0.013840914,-0.189419761,-0.64520371,0.021046638,-0.189145714,-0.646301925,0.02045083,-0.189676791,-0.647611737,0.021368504,-0.0866386,-0.653455436,-0.066581488,-0.092931762,-0.666218162,0.079802036,-0.144967616,-0.592492521,-0.00712657,-0.146624878,-0.594075322,0.036483288,0.014875485,-0.515721202,-0.155502453,-0.03463091,-0.509174705,0.182151794,0.055744015,-0.32099545,-0.249936819,0
50:31.6,0.540072989,0.41878666,-0.047760505,-0.204237103,-0.642328322,-0.023699999,-0.203729898,-0.642774403,-0.023120642,-0.203940541,-0.643124104,-0.02340126,-0.20271191,-0.643054903,0.013444662,-0.202439278,-0.644130409,0.012832403,-0.203008443,-0.645402253,0.013667107,-0.093310572,-0.651106179,-0.080396175,-0.099589482,-0.666108012,0.074556828,-0.158521548,-0.590081275,-0.018077374,-0.160075545,-0.592274249,0.028085947,0.01229991,-0.506754279,-0.163704902,-0.039464831,-0.50454706,0.173624754,0.042305805,-0.306014001,-0.256081462,0
50:32.4,0.530698776,0.405754817,-0.038075674,-0.202881753,-0.647553623,-0.02085638,-0.202408195,-0.647967219,-0.020338297,-0.202656955,-0.648317456,-0.020524025,-0.200899258,-0.647871673,0.016120434,-0.200647146,-0.648951411,0.015552759,-0.201285794,-0.650210559,0.016391039,-0.092208624,-0.657058835,-0.078569174,-0.096888401,-0.670445144,0.075432301,-0.158359304,-0.594528198,-0.013070583,-0.15937978,-0.596318781,0.032795906,0.013759466,-0.52070564,-0.157184139,-0.043337677,-0.510885835,0.172260046,0.033836734,-0.333628625,-0.256178856,0
50:33.1,0.511791575,0.402727717,-0.008859984,-0.196445107,-0.648774743,-0.029288054,-0.195980698,-0.649210274,-0.028724432,-0.196332231,-0.649581254,-0.028884649,-0.196189985,-0.648628891,0.006546497,-0.19585301,-0.649704993,0.006123304,-0.19653295,-0.650995612,0.006937742,-0.086794585,-0.657595336,-0.079649925,-0.097427666,-0.669327855,0.069178581,-0.156276494,-0.597227275,-0.018818617,-0.158927172,-0.59829098,0.025409698,0.012615203,-0.516299069,-0.150075227,-0.051429451,-0.501101077,0.164718866,0.0250712,-0.309560657,-0.218415737,0
50:33.9,0.50752852,0.396569216,-0.013309874,-0.199608445,-0.63991338,-0.011640072,-0.199136987,-0.640267849,-0.010972738,-0.199405402,-0.640708447,-0.011065006,-0.197222233,-0.640175641,0.025636196,-0.196871012,-0.641213775,0.025253057,-0.19748643,-0.642467737,0.025997639,-0.088111132,-0.647944808,-0.068911791,-0.089795187,-0.66253978,0.086272717,-0.157516509,-0.589437485,-0.002862692,-0.157693565,-0.591148078,0.042984486,0.005198443,-0.513186753,-0.145685345,-0.041449897,-0.485969424,0.179792404,-0.015910652,-0.322711915,-0.231786251,0
50:34.6,0.50305993,0.388242543,-0.015232366,-0.180392236,-0.623133659,-0.025599241,-0.179975539,-0.623465002,-0.024933815,-0.180204824,-0.623945415,-0.024958849,-0.177526876,-0.624283433,0.012200356,-0.177188933,-0.625333846,0.011805534,-0.177792624,-0.626543999,0.012506008,-0.072394721,-0.637760639,-0.089725971,-0.070708752,-0.656959116,0.068809032,-0.136316553,-0.577090621,-0.016840458,-0.135548815,-0.580270827,0.029865503,0.012237447,-0.506245077,-0.16631718,-0.017242363,-0.489409447,0.155308962,-0.066029072,-0.33709079,-0.250159144,0
50:35.3,0.505035323,0.289821294,0.103460337,-0.138025209,-0.679952741,-0.022734642,-0.13769041,-0.680427134,-0.022046566,-0.138262972,-0.680772483,-0.022095919,-0.133250058,-0.67886883,0.006221056,-0.132779926,-0.68013221,0.005951405,-0.133540899,-0.681346893,0.006588697,-0.05898346,-0.66373688,-0.065798759,-0.0472867,-0.669269562,0.050310612,-0.104241282,-0.626038909,-0.008469343,-0.100644261,-0.626140237,0.02490449,-0.043139048,-0.545502841,-0.144214064,0.010467048,-0.494923651,0.128740788,-0.239768356,-0.645205975,-0.179952383,0
50:36.1,0.583774698,0.342663226,0.028994977,-0.105388291,-0.672441483,-0.127351761,-0.104743011,-0.673184454,-0.126588106,-0.105287544,-0.673213243,-0.126849174,-0.131846219,-0.670181274,-0.111551046,-0.131552666,-0.670996666,-0.112789869,-0.131889656,-0.672446191,-0.111385584,-0.022218633,-0.65666908,-0.058582783,-0.150084436,-0.651082098,0.003395557,-0.079270065,-0.615083575,-0.107594728,-0.11706049,-0.610803187,-0.08927536,0.056682043,-0.505825877,-0.077571914,-0.125456363,-0.512988329,0.151081562,0.244665578,-0.348787308,-0.127063751,0
50:36.8,0.50135051,0.328542867,-0.17068477,-0.069780134,-0.724141359,-0.119216919,-0.069496147,-0.724763691,-0.118235826,-0.069776475,-0.724883199,-0.118459463,-0.091416307,-0.720553339,-0.102310658,-0.091092221,-0.721623838,-0.103044033,-0.091270007,-0.722829819,-0.102356195,0.008812451,-0.68206495,-0.062825918,-0.094731629,-0.674682975,0.002306461,-0.050321307,-0.665799797,-0.113188982,-0.080671437,-0.661168694,-0.093658209,0.062567659,-0.551547348,-0.139664859,-0.120710529,-0.453188956,0.105823278,-0.002384708,-0.62979579,-0.36196661,0
50:37.5,0.511277765,0.271811339,-0.046623087,-0.077696256,-0.688583553,-0.10860014,-0.077305138,-0.689181209,-0.107827425,-0.077818714,-0.689325809,-0.107925415,-0.097299077,-0.684749305,-0.087242842,-0.096832454,-0.685826242,-0.087978601,-0.097126924,-0.687179863,-0.087024689,0.015197854,-0.672425389,-0.067533731,-0.076987632,-0.662196636,0.019937992,-0.047768146,-0.630659819,-0.09668231,-0.074448794,-0.625203967,-0.071458101,0.104883663,-0.542315185,-0.106112093,-0.065784976,-0.473426431,0.124185562,0.118819311,-0.702460647,-0.203041792,0
