Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
36:21.2,0.527338433,0.323098859,-0.092640784,-0.129577056,-0.685330868,-0.069711447,-0.129160568,-0.685863316,-0.068994045,-0.129604071,-0.68612206,-0.069135904,-0.131419867,-0.685451031,-0.039249897,-0.131024331,-0.686552882,-0.039828777,-0.131571263,-0.687829614,-0.039129734,-0.031923797,-0.669026315,-0.100949764,-0.05010524,-0.679559767,0.022509575,-0.101472616,-0.625355542,-0.057558775,-0.106478631,-0.625864804,-0.020966053,0.042972125,-0.506967783,-0.165009841,-0.021692613,-0.493297517,0.118523598,-0.037737831,-0.339715391,-0.261120081,1
36:21.9,0.523053932,0.325607729,-0.046563813,-0.132234782,-0.68330878,-0.065369129,-0.131811514,-0.683820128,-0.064613819,-0.132228032,-0.68410337,-0.064683914,-0.133032233,-0.683970869,-0.033439398,-0.132636011,-0.685065925,-0.03396368,-0.133221209,-0.686352015,-0.033288479,-0.030881198,-0.667074442,-0.102730274,-0.044422034,-0.680393517,0.026948452,-0.103331983,-0.623521686,-0.053417683,-0.107053243,-0.625001967,-0.01512599,0.033279173,-0.504003584,-0.172209948,-0.012590725,-0.495535403,0.124878407,-0.062643841,-0.343159586,-0.257567286,1
36:22.7,0.519852668,0.337443373,-0.038381356,-0.136552706,-0.679689705,-0.055668116,-0.136165842,-0.680182636,-0.054942131,-0.136558101,-0.680475473,-0.054971695,-0.135263368,-0.680218935,-0.022759199,-0.134864748,-0.681308746,-0.023195505,-0.135452926,-0.682584405,-0.022528172,-0.034533162,-0.666185677,-0.100714207,-0.039556764,-0.679434419,0.033921719,-0.106122352,-0.620824814,-0.044445992,-0.107113704,-0.622130394,-0.004687786,0.031946436,-0.503977656,-0.169713274,-0.007248907,-0.494600773,0.130306482,-0.072354957,-0.331667095,-0.241578698,1
36:23.4,0.51822781,0.347823009,-0.028173535,-0.141651154,-0.679531753,-0.04291749,-0.141258568,-0.67996043,-0.04207921,-0.141550824,-0.680227697,-0.042226553,-0.140909821,-0.680341721,-0.009813309,-0.14053598,-0.681388557,-0.010402679,-0.14113982,-0.68267101,-0.009556293,-0.038274765,-0.665762544,-0.085598707,-0.047454398,-0.679079831,0.048344612,-0.110164568,-0.622150838,-0.033028364,-0.113002002,-0.623632371,0.006521463,0.031392917,-0.512090206,-0.161866918,-0.012281113,-0.497849107,0.14537096,-0.057483818,-0.339805216,-0.281776309,1
36:24.1,0.517109317,0.360203773,-0.019805697,-0.147221968,-0.671871126,-0.03986001,-0.146844089,-0.672282696,-0.039058208,-0.147145838,-0.672579944,-0.039222717,-0.145232946,-0.672210872,-0.005814314,-0.144843742,-0.673297763,-0.006322145,-0.145446569,-0.674587011,-0.005499601,-0.042994194,-0.660917461,-0.087736845,-0.046104882,-0.673246324,0.05227375,-0.114242561,-0.614788175,-0.03045845,-0.115219757,-0.615883946,0.011083603,0.019858807,-0.50993526,-0.164574191,-0.006927754,-0.488920778,0.154402256,-0.062544242,-0.326638728,-0.25553,1
36:24.8,0.521030676,0.379378861,-0.027302083,-0.139567584,-0.669408143,-0.020198822,-0.139202058,-0.669830441,-0.019389629,-0.139439732,-0.67012459,-0.019646406,-0.136169732,-0.670549989,0.014860392,-0.135769933,-0.671637297,0.01440239,-0.136252105,-0.672959924,0.015224695,-0.035944268,-0.656809628,-0.074345589,-0.03263038,-0.673565149,0.071069241,-0.106306426,-0.611707628,-0.013208866,-0.105379798,-0.614140391,0.029940605,0.021397833,-0.506655574,-0.164841875,0.00501438,-0.488093257,0.177101135,-0.063691825,-0.320150524,-0.250138283,1
36:25.5,0.521489328,0.361828646,-0.020118681,-0.152436674,-0.678998053,-0.033435106,-0.15203692,-0.679436803,-0.032651186,-0.15233092,-0.679732442,-0.032892466,-0.151088685,-0.679780066,-0.000633955,-0.150720224,-0.680829346,-0.00117898,-0.151326999,-0.682133436,-0.000283718,-0.05293069,-0.662635624,-0.078500509,-0.058591083,-0.676907361,0.055341244,-0.122434512,-0.620596111,-0.024639845,-0.124019936,-0.622303188,0.015110254,0.012130431,-0.507707417,-0.162091196,-0.018499939,-0.491686523,0.161473751,-0.027963836,-0.31273517,-0.254474401,1
36:26.2,0.532643592,0.307672116,-0.092926596,-0.140026942,-0.685213804,-0.044501781,-0.13965486,-0.685814559,-0.043868303,-0.140097708,-0.686074078,-0.043997765,-0.139751107,-0.687003911,-0.014219522,-0.139330089,-0.688149273,-0.014603853,-0.139913544,-0.689402401,-0.013929844,-0.045529354,-0.664953947,-0.082157612,-0.053928383,-0.682521224,0.040047646,-0.115065552,-0.624302208,-0.031515121,-0.116552643,-0.626358807,0.004498243,0.024948705,-0.501812518,-0.146469936,-0.025578773,-0.492842108,0.134868145,-0.036042064,-0.331124425,-0.207814455,1
36:26.8,0.569971633,0.414689216,-0.037039876,-0.145649105,-0.691969275,-0.040162563,-0.145150229,-0.692591488,-0.039320469,-0.14535889,-0.692962348,-0.039738178,-0.143617079,-0.694634378,-0.005786896,-0.143248826,-0.69581008,-0.006324053,-0.143614545,-0.697172165,-0.005401134,-0.049500972,-0.663572609,-0.090496063,-0.051125228,-0.685002387,0.051493645,-0.118255638,-0.633101642,-0.034761667,-0.118585773,-0.637443781,0.007559776,-0.003985368,-0.494456202,-0.181128234,-0.007928437,-0.508435309,0.161092043,-0.011747807,-0.283174932,-0.240721226,1
36:27.5,0.549720359,0.329443944,-0.038097287,-0.144651309,-0.685539186,-0.049827099,-0.144211024,-0.686153591,-0.049169302,-0.144651487,-0.68653208,-0.049385309,-0.143681541,-0.68725872,-0.015912533,-0.143274575,-0.688359857,-0.016298294,-0.143969133,-0.689646721,-0.015530109,-0.04280005,-0.661934018,-0.093349934,-0.050080158,-0.680438399,0.042068958,-0.120765984,-0.62699312,-0.034933567,-0.122568756,-0.629719853,0.004835844,0.008757009,-0.49711746,-0.155186683,-0.006037599,-0.505787134,0.141821146,-0.043994717,-0.331843644,-0.249100685,1
