Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
50:30.9,0.544389784,0.416611841,-0.042197947,-0.190822259,-0.644729495,-0.014192343,-0.190300196,-0.645206749,-0.013546467,-0.19051379,-0.64556247,-0.013840914,-0.189419761,-0.64520371,0.021046638,-0.189145714,-0.646301925,0.02045083,-0.189676791,-0.647611737,0.021368504,-0.0866386,-0.653455436,-0.066581488,-0.092931762,-0.666218162,0.079802036,-0.144967616,-0.592492521,-0.00712657,-0.146624878,-0.594075322,0.036483288,0.014875485,-0.515721202,-0.155502453,-0.03463091,-0.509174705,0.182151794,0.055744015,-0.32099545,-0.249936819,0
06:22.9,0.425725377,0.837285376,-0.289411064,-0.514203906,0.192675367,-0.200009584,-0.51467669,0.192429915,-0.199341297,-0.514646947,0.19288601,-0.198750496,-0.514188468,0.192096695,-0.17106986,-0.515080571,0.191839442,-0.171767473,-0.516273141,0.192511261,-0.171488285,-0.508940339,0.103815369,-0.239006996,-0.5262959,0.106146224,-0.123220444,-0.459726334,0.152668968,-0.191592455,-0.461942434,0.153687596,-0.156890869,-0.397751957,0.062291689,-0.29506737,-0.406348228,0.068433426,-0.013377666,-0.395456076,0.328875005,-0.381712317,0
14:50.7,0.49486931,0.419427055,-0.113561271,0.069202624,-0.677484632,-0.265193462,0.069489881,-0.677786231,-0.264469624,0.069340229,-0.678183913,-0.264621258,0.046659477,-0.670333266,-0.276144505,0.047183927,-0.671261787,-0.276842356,0.046518948,-0.672506154,-0.276077747,0.063989013,-0.651690602,-0.164937258,-0.040171046,-0.631445229,-0.226063251,0.078932211,-0.611267567,-0.243331909,0.048874874,-0.604006529,-0.260601997,0.135413915,-0.45234549,-0.082038671,-0.118338987,-0.434695959,-0.167753935,0.103290446,-0.227072626,-0.02441597,0
50:33.1,0.511791575,0.402727717,-0.008859984,-0.196445107,-0.648774743,-0.029288054,-0.195980698,-0.649210274,-0.028724432,-0.196332231,-0.649581254,-0.028884649,-0.196189985,-0.648628891,0.006546497,-0.19585301,-0.649704993,0.006123304,-0.19653295,-0.650995612,0.006937742,-0.086794585,-0.657595336,-0.079649925,-0.097427666,-0.669327855,0.069178581,-0.156276494,-0.597227275,-0.018818617,-0.158927172,-0.59829098,0.025409698,0.012615203,-0.516299069,-0.150075227,-0.051429451,-0.501101077,0.164718866,0.0250712,-0.309560657,-0.218415737,0
55:09.2,0.581745028,0.415594018,-0.048254362,-0.16350545,-0.69632411,0.068169594,-0.163016409,-0.696993947,0.068950176,-0.163214028,-0.697370529,0.068691969,-0.16106081,-0.700942159,0.09967947,-0.160770357,-0.701873004,0.099387646,-0.161285684,-0.703190565,0.100370169,-0.08016701,-0.650376439,0.022751093,-0.085123926,-0.679428101,0.150332451,-0.141397819,-0.638672173,0.073217154,-0.143301949,-0.644295752,0.110985279,-0.051784314,-0.50877732,-0.084225312,-0.019554207,-0.494482011,0.245575666,-0.001514678,-0.336935401,-0.238580942,0
36:39.4,0.579233646,0.419769925,-0.039630992,-0.144164532,-0.682538986,-0.033724308,-0.143639207,-0.68314296,-0.032983303,-0.143849999,-0.683501661,-0.033323288,-0.143376783,-0.684583426,0.000324249,-0.143027723,-0.685767055,-0.000282764,-0.143356696,-0.687112451,0.000605583,-0.044702142,-0.664232135,-0.082411051,-0.050705694,-0.683886051,0.058029652,-0.113746896,-0.622983694,-0.026347637,-0.115290344,-0.626762748,0.015459299,0.018924128,-0.496815771,-0.168883666,-0.01249832,-0.510898054,0.162820101,0.036053844,-0.274241447,-0.227875352,1
34:03.3,0.473923713,0.155630097,-0.257238591,-0.023894111,-0.701732993,-0.10531354,-0.023547495,-0.702371001,-0.104516506,-0.023697583,-0.702712774,-0.104479074,-0.056756526,-0.697901428,-0.104330778,-0.056320831,-0.69883132,-0.105061531,-0.056391854,-0.700090468,-0.104722738,0.029482458,-0.670597732,0.004949093,-0.122442544,-0.657525241,-0.005948067,-0.004206919,-0.635570407,-0.093782663,-0.0490738,-0.630589485,-0.096206427,0.129549518,-0.529283106,0.01559785,-0.179855481,-0.514707029,-0.006032944,0.237447739,-0.709059238,-0.075190067,1
51:05.7,0.536888874,0.207253593,0.278310035,-0.182604,-0.619107723,0.012201548,-0.182256848,-0.619655073,0.012933493,-0.18280898,-0.619874477,0.013065338,-0.179166272,-0.622494042,0.044614792,-0.17866905,-0.623358846,0.044084311,-0.1797079,-0.624754965,0.04501605,-0.089932404,-0.620150864,-0.04065752,-0.089110203,-0.640402496,0.094806194,-0.146269515,-0.569003403,0.023664236,-0.147090867,-0.573301852,0.061189413,0.001780837,-0.526758909,-0.073405966,-0.040710382,-0.527199864,0.167048454,-0.095179223,-0.728549302,-0.041645765,0
34:48.2,0.485188466,0.19905484,0.268752086,-0.112809286,-0.631027699,0.08547616,-0.112535104,-0.631302059,0.08625102,-0.112856843,-0.63170135,0.08615756,-0.116842516,-0.628833055,0.118995905,-0.116286583,-0.629828632,0.118393898,-0.116953671,-0.631081045,0.11898303,-0.008880194,-0.62772125,0.063358307,-0.035483081,-0.631980598,0.202395916,-0.078143172,-0.576070487,0.096923113,-0.086589523,-0.575154603,0.136072874,0.082652748,-0.542982638,0.021097884,-0.003699247,-0.456137717,0.251770973,0.093295813,-0.669143617,-0.039119005,0
34:21.5,0.472857022,0.149744576,0.413469245,-0.095373861,-0.629553914,0.058842659,-0.095105231,-0.629882395,0.059830427,-0.095553532,-0.630270004,0.059680462,-0.103653595,-0.626732111,0.090265274,-0.102976881,-0.62783134,0.089806795,-0.103856288,-0.629093647,0.090394735,0.007455436,-0.620868444,0.054376364,-0.039899677,-0.622325242,0.180272579,-0.058154944,-0.574342668,0.072146416,-0.073078558,-0.573108196,0.10690403,0.078842059,-0.535657644,0.02875106,0.003188465,-0.453715146,0.24555397,0.045904711,-0.735870302,0.080377579,0
04:38.1,0.667784464,0.494600451,0.229184797,-0.442472607,-0.223966718,0.25615406,-0.442429751,-0.224060714,0.256281376,-0.443380386,-0.224038243,0.2565763,-0.428704709,-0.237258315,0.280324221,-0.429229766,-0.238111213,0.279861927,-0.430376112,-0.238639653,0.280353785,-0.427120179,-0.266239375,0.157611132,-0.389471859,-0.324406981,0.263830185,-0.378157943,-0.243526205,0.246459723,-0.366299719,-0.257738352,0.277810097,-0.370256543,-0.228418812,0.050497137,-0.19228442,-0.348650217,0.268603325,-0.319205344,0.015361667,-0.009009123,0
15:34.8,0.490563232,0.410049102,-0.083114111,-0.019535381,-0.666858017,-0.256961107,-0.019202925,-0.667179763,-0.25633812,-0.019460542,-0.667525828,-0.256443501,-0.051221225,-0.661187112,-0.259147882,-0.050793402,-0.661944747,-0.259884596,-0.051409535,-0.663013518,-0.259095907,0.021248847,-0.652197123,-0.141532421,-0.126080155,-0.636135519,-0.167824268,-0.005174412,-0.605136037,-0.231619835,-0.047996283,-0.599539101,-0.239198923,0.135062248,-0.474773169,-0.050865568,-0.194238991,-0.453946382,-0.106850863,0.156117409,-0.257659107,-0.013615847,0
55:19.0,0.51380918,0.277970552,0.212610969,-0.120422751,-0.668378115,-0.059421062,-0.120070092,-0.668793857,-0.058679342,-0.120668821,-0.669006407,-0.058642149,-0.115352325,-0.670900345,-0.030604839,-0.114877686,-0.671985507,-0.030960798,-0.115819462,-0.673282564,-0.03033042,-0.041611839,-0.651533723,-0.104627609,-0.03229953,-0.667684555,0.011975765,-0.093542837,-0.614014506,-0.04557848,-0.09153378,-0.617072642,-0.013055325,-0.016000509,-0.511088789,-0.150067329,0.023481736,-0.518967509,0.111829996,-0.238761365,-0.556833804,-0.113343835,0
03:04.7,0.463796258,0.80617063,-0.239970227,-0.420040429,0.300617635,-0.221646309,-0.420370132,0.300608575,-0.220832586,-0.420272619,0.301184118,-0.220277309,-0.425865084,0.29776302,-0.192178488,-0.426835954,0.297598422,-0.192977428,-0.427657098,0.298876762,-0.192833662,-0.427715778,0.218682289,-0.27687192,-0.466312975,0.219461992,-0.159828186,-0.380682975,0.250021577,-0.211509466,-0.389267981,0.249917448,-0.177545071,-0.322826505,0.145614177,-0.332308114,-0.406740397,0.167019188,-0.050247192,-0.219315201,0.381423146,-0.361418962,0
16:51.4,0.483753663,0.335733536,-0.123562799,-0.001941229,-0.683704615,-0.017978668,-0.001472745,-0.684045613,-0.017379522,-0.001718416,-0.684334278,-0.017556667,-0.030673124,-0.678244114,-0.021149158,-0.030247221,-0.679282367,-0.021754265,-0.030792078,-0.680325568,-0.021029711,0.028950734,-0.665922165,0.094421625,-0.111999661,-0.646952271,0.062245369,0.015156698,-0.619555473,0.001094341,-0.026002562,-0.612512648,-0.008076429,0.138957113,-0.492875934,0.111446992,-0.192494541,-0.473048389,0.06013608,0.098379217,-0.339116007,-0.052155852,0
43:50.9,0.422293091,0.651673007,0.073830552,-0.586277783,-0.271120548,-0.059924364,-0.586475968,-0.271702647,-0.058896065,-0.587086439,-0.27080214,-0.058978558,-0.586337984,-0.271239936,-0.027435541,-0.587041736,-0.271937191,-0.028171539,-0.588250995,-0.272424489,-0.027506351,-0.488916188,-0.301681757,-0.101130962,-0.497472912,-0.311127961,0.029378891,-0.527282476,-0.237965852,-0.049008846,-0.528198779,-0.239733458,-0.010398388,-0.382133394,-0.186918169,-0.160035819,-0.345743269,-0.202322975,0.134634495,-0.567272902,0.026252447,-0.113248706,1
45:41.1,0.484520644,0.283029753,0.109093435,-0.184721202,-0.670983434,-0.020082474,-0.184363291,-0.671528816,-0.019405365,-0.184928983,-0.671789765,-0.019346237,-0.183112219,-0.674097538,0.011622667,-0.182789654,-0.675202727,0.011298895,-0.183738425,-0.676446676,0.011839151,-0.093414381,-0.648807108,-0.065426588,-0.099059172,-0.672418296,0.061256886,-0.158658713,-0.614703953,-0.007190704,-0.159963652,-0.61905241,0.029277086,-0.043326095,-0.496319979,-0.147107974,-0.047284704,-0.502235532,0.165271997,-0.153447345,-0.344258398,-0.163584352,1
33:25.3,0.468868172,0.175380597,-0.102318925,-0.031092584,-0.70036906,-0.081372738,-0.030814745,-0.701027453,-0.080572605,-0.031039843,-0.701294839,-0.080631256,-0.062075287,-0.696170211,-0.072280884,-0.061725847,-0.697300255,-0.07290554,-0.06192895,-0.698577583,-0.072382927,0.039443504,-0.667352259,0.010305166,-0.105847754,-0.654277861,0.038722992,-0.007857353,-0.632522762,-0.073168993,-0.051276084,-0.6276595,-0.064789295,0.153690398,-0.525730491,0.020729374,-0.164227486,-0.512089014,0.067976236,0.27478978,-0.677997708,-0.070311904,1
36:15.5,0.483803207,0.190732042,0.132361221,-0.142198429,-0.641276538,0.079427719,-0.141911536,-0.641649961,0.080110788,-0.142044783,-0.641984344,0.080029488,-0.141076535,-0.641721547,0.113122463,-0.140619278,-0.642556727,0.112130642,-0.141271234,-0.643743455,0.113170385,-0.042498466,-0.631101727,0.041501284,-0.050776016,-0.645529926,0.182424545,-0.109435081,-0.585615993,0.086081266,-0.112713955,-0.587510705,0.126161098,0.049340706,-0.536911666,-0.009684488,-0.008552709,-0.46608001,0.240153313,0.064829484,-0.66104424,-0.187802434,0
30:37.6,0.412615877,0.251653703,0.016787523,-0.116309218,-0.656339407,0.027220964,-0.116007127,-0.656736791,0.027904987,-0.116219833,-0.657061338,0.027821302,-0.118178897,-0.658295751,0.058987141,-0.117808342,-0.659343243,0.058374405,-0.118317105,-0.660536766,0.059201241,-0.01273731,-0.644936979,-0.007687569,-0.033954397,-0.667704403,0.12012291,-0.083572984,-0.59828943,0.036499977,-0.089509085,-0.602102339,0.073542356,0.060466632,-0.505878747,-0.083478972,-0.00825631,-0.469401479,0.21356678,-0.007472711,-0.344176918,-0.198179603,1
00:22.1,0.781723928,0.826974773,0.034371562,-0.107720047,-0.419262022,0.037367582,-0.107483737,-0.419685185,0.03825593,-0.108230025,-0.41987142,0.037887096,-0.119074292,-0.404131353,0.065389156,-0.118791312,-0.405154467,0.064418316,-0.119436145,-0.406397671,0.06495738,-0.036158361,-0.494560868,0.041800022,-0.088081606,-0.450579375,0.153009892,-0.041611429,-0.398041874,0.043915033,-0.05791444,-0.382777423,0.076718569,0.104887374,-0.435071737,-0.01520104,-0.019986872,-0.350259691,0.209767818,0.198187977,-0.2185819,-0.068873644,0
31:34.5,0.431397361,0.333139983,0.019570097,-0.112231039,-0.659863114,0.0159235,-0.111865908,-0.660373867,0.016672373,-0.112144612,-0.660714746,0.016411304,-0.113546155,-0.66224283,0.046708345,-0.113162026,-0.663410783,0.046246767,-0.113586165,-0.66472578,0.047056675,-0.014201215,-0.648576081,-0.019189835,-0.032068703,-0.671629548,0.106779575,-0.075862683,-0.60194397,0.0242486,-0.081109338,-0.606036067,0.061469316,0.024544744,-0.498969316,-0.115173973,0.002540853,-0.480073303,0.220772982,-0.055417396,-0.285547853,-0.190214992,1
